# Amorphous forsterite Mg2Sio4, Jager et al. (2003)
# http://www.astro.uni-jena.de/Laboratory/OCDB/amsilicates.html

# Wavelength [micron] - Real part - Imaginary part

1855.50048	1.53058	0.01142
1866.04309	1.53176	0.01116
1876.58571	1.53291	0.01091
1887.12832	1.53404	0.01067
1897.67094	1.53513	0.01043
1908.21356	1.53621	0.0102
1918.75617	1.53727	0.00998
1929.29879	1.53829	0.00976
1939.84141	1.5393	0.00956
1950.38402	1.54028	0.00936
1960.92664	1.54125	0.00916
1971.46925	1.5422	0.00897
1982.01187	1.54313	0.00878
1992.55449	1.54403	0.00861
2003.0971	1.54492	0.00843
2013.63972	1.54579	0.00826
2024.18234	1.54664	0.0081
2034.72495	1.54748	0.00794
2045.26757	1.5483	0.00778
2055.81019	1.5491	0.00763
2066.3528	1.54989	0.00748
2076.89542	1.55066	0.00734
2087.43803	1.55143	0.0072
2097.98065	1.55217	0.00707
2108.52327	1.5529	0.00694
2119.06588	1.55362	0.00681
2129.6085	1.55432	0.00668
2140.15112	1.55501	0.00657
2150.69373	1.55569	0.00645
2161.23635	1.55636	0.00633
2171.77897	1.55701	0.00622
2182.32158	1.55765	0.0061
2192.8642	1.55829	0.006
2203.40681	1.55891	0.0059
2213.94943	1.55952	0.00579
2224.49205	1.56012	0.00569
2235.03466	1.5607	0.0056
2245.57728	1.56128	0.0055
2256.1199	1.56185	0.0054
2266.66251	1.56241	0.00531
2277.20513	1.56295	0.00523
2287.74774	1.5635	0.00515
2298.29036	1.56403	0.00506
2308.83298	1.56455	0.00498
2319.37559	1.56507	0.0049
2329.91821	1.56557	0.00482
2340.46083	1.56607	0.00474
2351.00344	1.56656	0.00467
2361.54606	1.56705	0.00459
2372.08868	1.56752	0.00452
2382.63129	1.56798	0.00445
2393.17391	1.56844	0.00438
2403.71652	1.5689	0.00431
2414.25914	1.56934	0.00425
2424.80176	1.56978	0.00419
2435.34437	1.57021	0.00412
2445.88699	1.57064	0.00406
2456.42961	1.57106	0.00399
2466.97222	1.57147	0.00394
2477.51484	1.57188	0.00388
2488.05746	1.57228	0.00383
2498.60007	1.57268	0.00377
2509.14269	1.57306	0.00372
2519.6853	1.57345	0.00366
2530.22792	1.57383	0.00361
2540.77054	1.5742	0.00356
2551.31315	1.57457	0.00351
2561.85577	1.57493	0.00346
2572.39839	1.57529	0.00341
2582.941	1.57564	0.00336
2593.48362	1.57598	0.00332
2604.02623	1.57632	0.00327
2614.56885	1.57667	0.00323
2625.11147	1.577	0.00318
2635.65408	1.57733	0.00314
2646.1967	1.57765	0.0031
2656.73932	1.57797	0.00305
2667.28193	1.57828	0.00301
2677.82455	1.5786	0.00297
2688.36717	1.57891	0.00293
2698.90978	1.57921	0.0029
2709.4524	1.57951	0.00286
2719.99501	1.5798	0.00282
2730.53763	1.58009	0.00278
2741.08025	1.58038	0.00274
2751.62286	1.58066	0.00271
2762.16548	1.58094	0.00268
2772.7081	1.58122	0.00265
2783.25071	1.5815	0.00261
2793.79333	1.58176	0.00258
2804.33595	1.58202	0.00254
2814.87856	1.58229	0.00251
2825.42118	1.58255	0.00248
2835.96379	1.5828	0.00245
2846.50641	1.58306	0.00242
2857.04903	1.58331	0.00239
2867.59164	1.58356	0.00236
2878.13426	1.5838	0.00234
2888.67688	1.58404	0.00231
2899.21949	1.58428	0.00228
2909.76211	1.58451	0.00226
2920.30472	1.58474	0.00223
2930.84734	1.58497	0.0022
2941.38996	1.5852	0.00218
2951.93257	1.58543	0.00215
2962.47519	1.58565	0.00213
2973.01781	1.58587	0.0021
2983.56042	1.58608	0.00207
2994.10304	1.58629	0.00205
3004.64566	1.5865	0.00203
3015.18827	1.58671	0.00201
3025.73089	1.58692	0.00199
3036.2735	1.58712	0.00196
3046.81612	1.58733	0.00193
3057.35874	1.58753	0.00192
3067.90135	1.58772	0.0019
3078.44397	1.58792	0.00188
3088.98659	1.58811	0.00185
